speed,rpm,eLoad,tPos,cTemp,battery,Target
40.0,1248.25,25.09800000000001,0.0,70.0,0.0,Eco
21.0,1006.5,58.0392,0.0,53.0,0.0,Eco
28.0,1081.0,38.0392,0.0,81.0,0.0,Eco
33.0,1408.75,23.5294,0.0,80.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
13.0,864.0,43.9216,0.0,80.0,0.0,Eco
52.0,1628.0,22.3529,0.0,81.0,0.0,Eco
13.0,1119.0,33.3333,0.0,79.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
6.0,1194.0,51.3725,0.0,57.0,0.0,Eco
0.0,850.5,42.7451,0.0,82.0,0.0,Eco
20.0,828.5,87.45100000000002,0.0,81.0,0.0,Eco
43.0,1356.0,20.3922,0.0,83.0,0.0,Eco
19.0,922.5,30.1961,0.0,80.0,0.0,Eco
73.0,2258.0,42.3529,0.0,82.0,0.0,Normal
62.0,1918.5,60.7843,0.0,81.0,0.0,Normal
17.0,993.5,34.1176,0.0,75.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
13.0,1602.25,41.9608,0.0,81.0,0.0,Eco
6.0,837.75,47.0588,0.0,60.0,0.0,Eco
40.0,1694.0,70.1961,0.0,79.0,0.0,Eco
57.0,1769.25,21.1765,0.0,67.0,0.0,Eco
12.0,864.75,59.6078,0.0,81.0,0.0,Eco
53.0,1680.5,47.8431,0.0,81.0,0.0,Eco
82.0,1943.5,20.7843,0.0,81.0,0.0,Normal
49.0,1523.25,25.8824,0.0,82.0,0.0,Eco
31.0,1332.75,41.5686,0.0,80.0,0.0,Eco
0.0,803.75,40.7843,0.0,64.0,0.0,Eco
0.0,849.25,40.7843,0.0,80.0,0.0,Eco
2.0,809.75,40.0,0.0,55.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
64.0,1515.5,87.8431,0.0,82.0,0.0,Eco
120.0,2819.5,72.54899999999998,0.0,81.0,0.0,Normal
0.0,852.25,38.8235,0.0,75.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
38.0,1204.75,43.9216,0.0,65.0,0.0,Eco
60.0,1425.0,74.5098,0.0,79.0,0.0,Eco
47.0,1124.25,24.3137,0.0,81.0,0.0,Eco
28.0,1181.5,27.451,0.0,80.0,0.0,Eco
26.0,2029.0,47.8431,0.0,80.0,0.0,Normal
92.0,2166.75,63.1373,0.0,81.0,0.0,Normal
30.0,1285.75,38.0392,0.0,82.0,0.0,Eco
46.0,1440.75,49.4118,0.0,67.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
59.0,2515.5,23.9216,0.0,54.0,0.0,Normal
92.0,2179.25,52.549,0.0,82.0,0.0,Normal
20.0,871.0,33.7255,0.0,80.0,0.0,Eco
0.0,790.5,44.7059,0.0,51.0,0.0,Eco
50.0,2105.0,46.6667,0.0,80.0,0.0,Normal
0.0,799.5,41.9608,0.0,47.0,0.0,Eco
8.0,1211.0,31.3725,0.0,81.0,0.0,Eco
14.0,922.25,38.0392,0.0,77.0,0.0,Eco
15.0,879.75,38.0392,0.0,65.0,0.0,Eco
42.0,1795.75,25.8824,0.0,73.0,0.0,Eco
2.0,776.0,52.9412,0.0,80.0,0.0,Eco
0.0,795.5,44.3137,0.0,46.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
46.0,1497.5,21.5686,0.0,81.0,0.0,Eco
19.0,957.75,40.0,0.0,81.0,0.0,Eco
60.0,1381.0,23.5294,0.0,81.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
2.0,798.5,50.1961,0.0,80.0,0.0,Eco
15.0,876.0,39.2157,0.0,58.0,0.0,Eco
0.0,800.5,58.4314,0.0,75.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
86.0,2012.25,80.3922,0.0,80.0,0.0,Normal
44.0,1382.0,23.5294,0.0,81.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
90.0,2124.5,41.5686,0.0,81.0,0.0,Normal
0.0,0.0,0.0,0.0,61.0,0.0,Eco
49.0,1171.0,80.0,0.0,80.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
84.0,1966.25,81.5686,0.0,83.0,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,Eco
13.0,855.0,38.4314,0.0,82.0,0.0,Eco
0.0,798.75,41.9608,0.0,81.0,0.0,Eco
0.0,849.25,41.5686,0.0,79.0,0.0,Eco
14.0,875.5,42.7451,0.0,81.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
76.0,1807.0,66.2745,0.0,79.0,0.0,Normal
2.0,847.25,40.3922,0.0,81.0,0.0,Eco
0.0,0.0,0.0,0.0,69.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
0.0,0.0,0.0,0.0,63.0,0.0,Eco
0.0,0.0,0.0,0.0,71.0,0.0,Eco
27.0,1032.75,28.2353,0.0,75.0,0.0,Eco
111.0,2598.25,60.0,0.0,82.0,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,Eco
1.0,799.5,42.7451,0.0,82.0,0.0,Eco
88.0,2057.75,60.3922,0.0,82.0,0.0,Normal
71.0,1672.0,51.3725,0.0,82.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
0.0,0.0,0.0,0.0,0.0,0.0,Eco
28.0,1256.25,58.8235,0.0,30.0,0.0,Eco
0.0,0.0,0.0,0.0,54.0,0.0,Eco
91.0,2138.75,20.7843,0.0,82.0,0.0,Normal
33.0,2165.5,22.3529,0.0,82.0,0.0,Normal
